authFullName_s,producedDate_s,journalTitle_s,conferenceTitle_s,conferenceStartDate_s
"Steffen Grünewälder,Jean-Yves Audibert,Manfred Opper,John Shawe-Taylor",2010-05-13,,AISTATS 2010 - Thirteenth International Conference on Artificial Intelligence and Statistics,2010-05-13
"Hachem Kadri,Emmanuel Duflos,Philippe Preux,Stephane Canu,Manuel Davy",2010,,Thirteenth International Conference on Artificial Intelligence and Statistics (AISTATS'10),2010
"Leonor Becerra-Bonache,Elisa Fromont,Amaury Habrard,Michael Perrot,Marc Sebban",2012-09-05,,International Conference on Grammatical Inference,2012-09-05
"Nils Murrugarra-Llerena,Adriana Kovashka",2019-06-09,,LatinX in AI research workshop. International Conference on Machine Learning (ICML).,2019-06-09
"Pierre Geurts,Louis Wehenkel,Florence d'Alché-Buc",2007,,Proceedings of the 24th Annual International Conference on Machine Learning (ICML 2007),2007
"Céline Brouard,Florence d'Alché-Buc,Marie Szafranski",2011-06-28,,28th International Conference on Machine Learning (ICML 2011),2011-06-28
Liva Ralaivola,2012-12-03,,"Neural Information Processing Systems, NIPS 2012",2012-12-03
"Pablo Rivas,Pamela Harper,John Cary,William Brown",2019-06-10,,LatinX in AI Research at ICML 2019,2019-06-10
"Francois Denis,Mattias Gybels,Amaury Habrard",2014-06-21,,The International Conference on Machine Learning (ICML),2014-06-21
"Hernan Lira,Luis Martí,Nayat Sanchez-Pi",2021-05-07,,AI: Modeling Oceans and Climate Change Workshop at ICLR 2021,2021-05-07
"Xavier Fontaine,Quentin Berthet,Vianney Perchet",2019-04,,The 22nd International Conference on Artificial Intelligence and Statistics (AISTATS) 2019,2019-04
"Giovanni Neglia,Chuan Xu,Don Towsley,Gianmarco Calbi",2020-08-26,,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020-08-26
"Fabien Lotte,Cuntai Guan",2009-12-10,,Assistive Machine Learning for People with Disabilities symposium (NIPS'09 Symposium),2009-12-10
"M. Pawan Kumar,Vladimir Kolmogorov,Philip Torr",2009,JMLR,,
"Sergio Escalera,Vassilis Athitsos,Isabelle Guyon",2016,Journal of Machine Learning Research,,
